Name,Winner
Alabama,Trump
Alaska,Trump
Arizona,Trump
Arkansas,Trump
California,Clinton
Colorado,Clinton
Connecticut,Clinton
Delaware,Clinton
Florida,Trump
Georgia,Trump
Hawaii,Clinton
Idaho,Trump
Illinois,Clinton
Indiana,Trump
Iowa,Trump
Kansas,Trump
Kentucky,Trump
Louisiana,Trump
Maine,Clinton
Maryland,Clinton
Massachusetts,Clinton
Michigan,Trump
Minnesota,Clinton
Mississippi,Trump
Missouri,Trump
Montana,Trump
Nebraska,Trump
Nevada,Clinton
New Hampshire,Clinton
New Jersey,Clinton
New Mexico,Clinton
New York,Clinton
North Carolina,Trump
North Dakota,Trump
Ohio,Trump
Oklahoma,Trump
Oregon,Clinton
Pennsylvania,Trump
Rhode Island,Clinton
South Carolina,Trump
South Dakota,Trump
Tennessee,Trump
Texas,Trump
Utah,Trump
Vermont,Clinton
Virginia,Clinton
Washington,Clinton
West Virginia,Trump
Wisconsin,Trump
Wyoming,Trump